system:index,MNDWI_HLS,MNDWI_LS,NDBI_HLS,NDBI_LS,NDMI_HLS,NDMI_LS,NDWI_HLS,NDWI_LS,S2_EVI,S2_MNDWI,S2_NDBI,S2_NDMI,S2_NDVI,S2_NDWI,S2_SAVI,SAVI_HLS,SAVI_LS,VH_A,VH_D,VV_A,VV_D,brightness,cropland,dem,fifth,fourth,greenness,ndratio_A,ndratio_D,random,ratio_A,ratio_D,sixth,slope,wetness,.geo
0,-0.5487805,-0.4522624,-0.12819633,-0.2764543,0.12819633,0.2764543,-0.63248074,-0.64773655,0.4097963,-0.2326766,-0.1608915,0.1608915,0.32882383,-0.3793584,0.29929927,0.43157545,0.44126654,-22.574985018858126,-23.593974669958723,-15.05297553409818,-16.19238358803225,0.46515363,0,1211.5387,0.06821301,-0.053244084,0.14362817,-0.19990478820061813,-0.18603338948318762,0.8132242954880488,0.6667989157699818,0.6862931665621127,-0.021866113,1.5172783,-0.06216728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.80612063931144,41.13884250965975]}"
1,-0.5031394,-0.4735946,0.23402062,0.20883007,-0.23402062,-0.20883007,-0.3050351,-0.29379156,0.14663267,-0.32192656,0.1445606,-0.1445606,0.12751344,-0.18603513,0.10589918,0.12863047,0.13301261,-25.091895524527917,-24.438074730749236,-16.168108641031484,-16.91024421551319,0.52667016,0,1359.8386,0.08585254,-0.05589293,-0.012619771,-0.21628177369272558,-0.1820589254189379,0.0667341091928998,0.6443558090390891,0.691963029077567,-0.034135554,7.257873,-0.19137742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.24530698171748,41.14162728704053]}"
2,-0.4628657,-0.38752678,0.061946902,-0.0032320588,-0.061946902,0.0032320588,-0.41275373,-0.39027116,0.17256868,-0.27339256,-0.0042411885,0.0042411885,0.15734683,-0.27731606,0.14706838,0.2193676,0.22178376,-22.82249604144151,-24.30515392052484,-12.77493322109571,-13.513177998914252,0.6310957,0,1266.0719,0.11072345,-0.037847307,0.071335874,-0.28225529282587464,-0.28536361531227084,0.2452044805382415,0.5597517991852753,0.5559799391972932,-0.02083684,0.7053952,-0.11880103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.79129843712347,41.06041958535612]}"
3,-0.48495507,-0.49882168,-0.23464249,-0.08321646,0.23464249,0.08321646,-0.6460795,-0.5593669,0.21185964,-0.24432504,-0.025858147,0.025858147,0.1960159,-0.26843217,0.16416276,0.39221352,0.30912894,-15.916867419730147,-19.434792217733104,-11.556977558218641,-12.565235174834784,0.39969572,0,1192.2219,0.03614326,-0.046307404,0.096045956,-0.15869238051721068,-0.2146734738262692,0.7763182490385069,0.7260836729652534,0.6465330338530579,-0.023127737,1.2639891,-0.04559375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.75833026619628,41.1466578526316]}"
4,-0.41666666,-0.48741895,0.067681395,0.15648594,-0.067681395,-0.15648594,-0.35911244,-0.35821402,0.20231253,-0.28142613,0.055514876,-0.055514876,0.16330855,-0.2298726,0.14548522,0.17722958,0.16989356,-24.606646717499416,-24.812660425267143,-17.47908458627378,-17.197633951878622,0.5648278,0,1305.9054,0.10079832,-0.050823733,0.013698836,-0.16935816274117152,-0.18126572513453298,0.7735489538993505,0.7103399657395514,0.6930991541062637,-0.02788446,1.5337104,-0.17422397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.18781480353383,41.090063989732066]}"
5,-0.5119073,-0.49084705,0.13404995,0.066315025,-0.13404995,-0.066315025,-0.4056967,-0.43873927,0.18610866,-0.2651483,0.024640065,-0.024640065,0.1641283,-0.24208723,0.14485687,0.21162537,0.24396175,-24.205621144920247,-25.08547954167964,-14.28095441374131,-13.445830284211418,0.53297395,0,1335.3785,0.088977404,-0.055738337,0.025791684,-0.2578734685306485,-0.30208288558223306,0.2512297218435936,0.5899850422445485,0.5360005281888716,-0.030303463,0.39069968,-0.16832119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.0817237684793,41.240711462878906]}"
6,-0.49444714,-0.4673848,0.0993695,0.021348849,-0.0993695,-0.021348849,-0.41549197,-0.4505314,0.1703131,-0.22994567,-0.008401962,0.008401962,0.1422094,-0.23788804,0.1248583,0.19697821,0.22971569,-21.430749483077385,-22.287024529775202,-12.076552030194406,-11.125166157661424,0.47566324,0,1365.5145,0.0814538,-0.05217392,0.034673784,-0.27916892827606266,-0.3340654456491764,0.248603111404049,0.5635151509624317,0.4991768256367436,-0.026560733,0.14807615,-0.120264694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.219255838478,41.32551242569979]}"
7,-0.47075513,-0.45546934,0.15581854,0.1479979,-0.15581854,-0.1479979,-0.3398666,-0.32970768,0.14375326,-0.30236354,0.11552704,-0.11552704,0.12609872,-0.19359906,0.10567482,0.15956736,0.15130064,-23.19473300217132,-24.41767074553536,-14.254317407226747,-15.617463716882586,0.5023137,0,1272.0703,0.07299813,-0.050933775,0.010100539,-0.23873544181245565,-0.2198121012160897,0.16042372996264664,0.6145497516997658,0.6395967854443346,-0.033558235,8.495315,-0.14754264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.88220794387637,41.11422867087488]}"
8,-0.49534407,-0.4567447,0.04168974,0.12888572,-0.04168974,-0.12888572,-0.4632202,-0.3487637,0.1342806,-0.256312,0.061793867,-0.061793867,0.1177268,-0.19805095,0.10408054,0.26038846,0.17456208,-24.691895290436683,-25.30337788681539,-16.06190515831022,-17.981698423661115,0.54500586,0,1301.0741,0.0780701,-0.041768346,0.04602988,-0.21175914975045762,-0.16915020342431908,0.35679916081209173,0.6504930046634003,0.7106441876691365,-0.028554084,2.7452857,-0.14973503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.97680054329415,41.1684869140357]}"
9,-0.47465843,-0.48665106,0.063403785,0.078847155,-0.063403785,-0.078847155,-0.42401546,-0.4240508,0.17717752,-0.2525622,0.042466193,-0.042466193,0.14911088,-0.21240233,0.13101712,0.22884046,0.22288558,-24.253271093399853,-24.175220721603072,-12.015708251018744,-11.38800527705698,0.5268185,0,1344.3118,0.09156505,-0.053101983,0.033702362,-0.3374112826878967,-0.35956286544499333,0.5402041428040211,0.4954262954776698,0.47106106737137726,-0.027836375,1.1779292,-0.15002973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.13849729443567,41.31940388176778]}"
