system:index,MNDWI_HLS,MNDWI_LS,NDBI_HLS,NDBI_LS,NDMI_HLS,NDMI_LS,NDWI_HLS,NDWI_LS,S2_EVI,S2_MNDWI,S2_NDBI,S2_NDMI,S2_NDVI,S2_NDWI,S2_SAVI,SAVI_HLS,SAVI_LS,VH_A,VH_D,VV_A,VV_D,brightness,cropland,dem,fifth,fourth,greenness,ndratio_A,ndratio_D,random,ratio_A,ratio_D,sixth,slope,wetness,.geo
0,-0.5487805,-0.4522624,-0.12819633,-0.2764543,0.12819633,0.2764543,-0.63248074,-0.64773655,0.4097963,-0.2326766,-0.1608915,0.1608915,0.32882383,-0.3793584,0.29929927,0.43157545,0.44126654,-22.574985018858126,-23.593974669958723,-15.05297553409818,-16.19238358803225,0.46515363,0,1211.5387,0.06821301,-0.053244084,0.14362817,-0.19990478820061813,-0.18603338948318762,0.5329552938932197,0.6667989157699818,0.6862931665621127,-0.021866113,1.5172783,-0.06216728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.80612063931144,41.13884250965975]}"
1,-0.5031394,-0.4735946,0.23402062,0.20883007,-0.23402062,-0.20883007,-0.3050351,-0.29379156,0.14663267,-0.32192656,0.1445606,-0.1445606,0.12751344,-0.18603513,0.10589918,0.12863047,0.13301261,-25.091895524527917,-24.438074730749236,-16.168108641031484,-16.91024421551319,0.52667016,0,1359.8386,0.08585254,-0.05589293,-0.012619771,-0.21628177369272558,-0.1820589254189379,0.45344540821520296,0.6443558090390891,0.691963029077567,-0.034135554,7.257873,-0.19137742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.24530698171748,41.14162728704053]}"
2,-0.4628657,-0.38752678,0.061946902,-0.0032320588,-0.061946902,0.0032320588,-0.41275373,-0.39027116,0.17256868,-0.27339256,-0.0042411885,0.0042411885,0.15734683,-0.27731606,0.14706838,0.2193676,0.22178376,-22.82249604144151,-24.30515392052484,-12.77493322109571,-13.513177998914252,0.6310957,0,1266.0719,0.11072345,-0.037847307,0.071335874,-0.28225529282587464,-0.28536361531227084,0.43225623360254306,0.5597517991852753,0.5559799391972932,-0.02083684,0.7053952,-0.11880103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.79129843712347,41.06041958535612]}"
3,-0.48495507,-0.49882168,-0.23464249,-0.08321646,0.23464249,0.08321646,-0.6460795,-0.5593669,0.21185964,-0.24432504,-0.025858147,0.025858147,0.1960159,-0.26843217,0.16416276,0.39221352,0.30912894,-15.916867419730147,-19.434792217733104,-11.556977558218641,-12.565235174834784,0.39969572,0,1192.2219,0.03614326,-0.046307404,0.096045956,-0.15869238051721068,-0.2146734738262692,0.6942074959559426,0.7260836729652534,0.6465330338530579,-0.023127737,1.2639891,-0.04559375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.75833026619628,41.1466578526316]}"
4,-0.41666666,-0.48741895,0.067681395,0.15648594,-0.067681395,-0.15648594,-0.35911244,-0.35821402,0.20231253,-0.28142613,0.055514876,-0.055514876,0.16330855,-0.2298726,0.14548522,0.17722958,0.16989356,-24.606646717499416,-24.812660425267143,-17.47908458627378,-17.197633951878622,0.5648278,0,1305.9054,0.10079832,-0.050823733,0.013698836,-0.16935816274117152,-0.18126572513453298,0.15204952279632156,0.7103399657395514,0.6930991541062637,-0.02788446,1.5337104,-0.17422397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.18781480353383,41.090063989732066]}"
5,-0.49215353,-0.4403843,0.21117249,0.14646131,-0.21117249,-0.14646131,-0.31357014,-0.31424072,0.13335444,-0.30659223,0.1277286,-0.1277286,0.11704862,-0.18615884,0.099257246,0.13636364,0.14376718,-24.01398859920493,-26.350022060418404,-17.134733675619394,-17.05641502683115,0.5678894,0,1302.8713,0.10325435,-0.056328315,-0.005866302,-0.16718028029255264,-0.21410665461683812,0.696210274620532,0.7135313488150279,0.6473017361322208,-0.034563664,1.4096214,-0.19598365,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.12376492377611,41.131027166687915]}"
6,-0.47075513,-0.45546934,0.15581854,0.1479979,-0.15581854,-0.1479979,-0.3398666,-0.32970768,0.14375326,-0.30236354,0.11552704,-0.11552704,0.12609872,-0.19359906,0.10567482,0.15956736,0.15130064,-23.19473300217132,-24.41767074553536,-14.254317407226747,-15.617463716882586,0.5023137,0,1272.0703,0.07299813,-0.050933775,0.010100539,-0.23873544181245565,-0.2198121012160897,0.07236200399719073,0.6145497516997658,0.6395967854443346,-0.033558235,8.495315,-0.14754264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.88220794387637,41.11422867087488]}"
7,-0.45997286,-0.40508,0.18282378,0.11847225,-0.18282378,-0.11847225,-0.30259556,-0.30105802,0.1091699,-0.25540656,0.08239303,-0.08239303,0.09281089,-0.17673269,0.08238785,0.14065544,0.13442846,-25.833005172354376,-25.561039487844944,-15.734832048905309,-15.855057216792495,0.64167804,0,1303.9452,0.14260866,-0.06258436,-0.0135937575,-0.2429323678712926,-0.23435289762508332,0.6114430718572904,0.6090980102363083,0.620282176878294,-0.036866188,0.66552436,-0.22892943,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.93781365996335,41.05170592710016]}"
8,-0.49534407,-0.4567447,0.04168974,0.12888572,-0.04168974,-0.12888572,-0.4632202,-0.3487637,0.1342806,-0.256312,0.061793867,-0.061793867,0.1177268,-0.19805095,0.10408054,0.26038846,0.17456208,-24.691895290436683,-25.30337788681539,-16.06190515831022,-17.981698423661115,0.54500586,0,1301.0741,0.0780701,-0.041768346,0.04602988,-0.21175914975045762,-0.16915020342431908,0.26169230721806314,0.6504930046634003,0.7106441876691365,-0.028554084,2.7452857,-0.14973503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.97680054329415,41.1684869140357]}"
9,-0.49823874,-0.44903052,0.20481549,0.17408882,-0.20481549,-0.17408882,-0.32676908,-0.29827288,0.09891422,-0.3014031,0.13190915,-0.13190915,0.08763735,-0.17651138,0.075323634,0.14157413,0.1265127,-23.85084997042439,-25.61540026735349,-14.551437483883996,-16.10468042934842,0.5582329,0,1339.6726,0.109930456,-0.05787057,-0.010876337,-0.24215777504412922,-0.22796503935710072,0.06439742125328818,0.6101014220427413,0.6287108638264629,-0.03120205,1.662722,-0.2084303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-103.14568381670861,41.30970207669929]}"
